barcode,manufacturer,material,color,full_weight,empty_weight
9010241142019,Extrudr,Flex Medium,white,750,240
9010241043194,Extrudr,PLA,emerald green,1000,260
9010241043217,Extrudr,PLA,purple,1000,260
9010241043040,Extrudr,PLA,grey,1000,260
9010241043200,Extrudr,PLA,turquoise,1000,260
9010241043187,Extrudr,PLA,signal green,1000,260
9010241043088,Extrudr,PLA,silver,1000,260
9010241400461,Extrudr,PLA high speed,pastel blue,1000,260
9010241043064,Extrudr,PLA,anthracite,1000,260
8594173675087,Prusament,PLA,mystic green,1025,260
8594173675056,Prusament,PLA,pearl mouse,1025,260
8594173676091,Prusament,PLA,galaxy red,1000,260
9010241043231,Extrudr,PLA,light blue,1000,260
9010241043163,Extrudr,PLA,yellow,1000,260
9010241043026,Extrudr,PLA,black,1000,260
9010241043019,Extrudr,PLA,white,1000,260
9010241043415,Extrudr,PLA,epic puple,1000,260
9010241043255,Extrudr,PLA,military green,1000,260
8594173675070,Prusament,PLA,mystic brown,1000,260
8594173675155,Prusament,PLA,galaxy purple,1000,260
9010241023271,Extrudr,PETG,nean green,1100,260
9010241023325,Extrudr,PETG,trans. green,1100,260
9010241023189,Extrudr,PETG,signal green,1100,260
9010241023196,Extrudr,PETG,emerald green,1100,260
9010241023349,Extrudr,PETG,trans. red,1100,260
9010241023240,Extrudr,PETG,magenta,1100,260
9010241023073,Extrudr,PETG,copper,1100,260
9010241023257,Extrudr,PETG,military green,1100,260
9010241023301,Extrudr,PETG,neon yellow,1100,260
9010241023165,Extrudr,PETG,yellow,1100,260
9010241023011,Extrudr,PETG,white,1100,260
9010241023288,Extrudr,PETG,neon orange,1100,260
9010241023233,Extrudr,PETG,cyan,1100,260
9010241023141,Extrudr,PETG,navy blue,1100,260
9010241023158,Extrudr,PETG,red,1100,260
9010241023295,Extrudr,PETG,neon red,1100,260
9010241023264,Extrudr,PETG,hellfire red,1100,260
9010241023332,Extrudr,PETG,trans. orange,1100,260
9010241023066,Extrudr,PETG,anthracite,1100,260
9010241023202,Extrudr,PETG,turquoise,1100,260
9010241023028,Extrudr,PETG,black,1100,260
9010241023004,Extrudr,PETG,trans.,1100,260
9010241043422,Extrudr,PLA,blue steel,1000,260
9010241041442,Extrudr,PLA,military dark green,1000,260
9010241023318,Extrudr,PETG,trans. blue,1100,260
9010241400454,Extrudr,PLA high speed,pastel green,1000,260
